Date,AAPL,ADBE,APTV,EPAM,FRT,MELI,MO,NEM,SWK,TTD
2019-03-25,47.18500137,262.269989,78.01999664,167.1199951,135.1900024,491.2999878,56.54999924,34.90000153,131.6699982,19.70400047
2019-03-26,46.69749832,265.5899963,78.98000336,170.1600037,137.3200073,493.8999939,57.02999878,35.56000137,132.0500031,18.69400024
2019-03-27,47.11750031,262.3399963,77.70999908,164.9499969,137.0399933,484.9400024,56.29999924,35.70999908,132.3600006,18.03800011
2019-03-28,47.18000031,263.5299988,78.80999756,168,138.75,497.1499939,56.70000076,35.56999969,134.5700073,18.65099907
2019-03-29,47.48749924,266.4899902,79.48999786,169.1300049,137.8500061,507.730011,57.43000031,35.77000046,136.1699982,19.79500008
2019-04-01,47.81000137,272.1700134,82.58000183,171.1199951,137.2299957,518.1099854,57.72999954,35.61000061,139.5099945,20.61300087
2019-04-02,48.50500107,271.3500061,82.93000031,170.9600067,137.6100006,509.9899902,56.68999863,35.83000183,139.3000031,20.68400002
2019-04-03,48.83750153,271.5,84.98000336,175.0200043,137.3800049,508.5799866,53.97999954,35.95000076,140.75,20.72100067
2019-04-04,48.92250061,267.8900146,86.44000244,169.2899933,137.6300049,501.480011,54.59999847,36.47999954,142.9400024,19.79999924
2019-04-05,49.25,267.4500122,86.94000244,168.3500061,138.9199982,502.8500061,54.77000046,36.5,142.7899933,19.65200043
2019-04-08,50.02500153,268.8099976,88.48999786,169.2700043,137.9100037,506.5,55.27999878,36.65999985,144,19.75
2019-04-09,49.875,268.9899902,87.51000214,168.9199982,136.9799957,505.1799927,55.11000061,36.59999847,141.8699951,19.48200035
2019-04-10,50.15499878,271.5799866,88.55999756,171.1999969,138.5399933,514.3400269,55.41999817,36.27000046,142.4600067,19.98800087
2019-04-11,49.73749924,271.8999939,89.08000183,172.5099945,136.9299927,503.730011,55.97999954,35.97000122,144.3800049,20.0359993
2019-04-12,49.71749878,271.8599854,90.79000092,173.5599976,138.1100006,504.519989,56.56000137,36.25,146.1699982,20.04999924
2019-04-15,49.80749893,272.2200012,89.72000122,172.2799988,136.5200043,513.6799927,56.93999863,36.16999817,146.6100006,20.2159996
2019-04-16,49.8125,271.4299927,90.12000275,174,132.4900055,501.9599915,56.38999939,34.79000092,145.8200073,20.32600021
2019-04-17,50.78250122,269.4500122,90.72000122,169.7700043,131.0099945,498.3800049,56.18000031,34.18000031,144.6199951,19.87899971
2019-04-18,50.96500015,270.5700073,90.33999634,171.4199982,132.1999969,492,54.36999893,33.04000092,145.7400055,19.87400055
2019-04-22,51.13249969,272.2099915,89.73999786,172.7299957,129.5899963,490.769989,54.61000061,32.54999924,145.4299927,21.10300064
2019-04-23,51.86999893,278.4899902,89.48999786,177.1900024,131.4499969,500,54.81999969,32.36999893,147.4499969,21.07299995
2019-04-24,51.79000092,275.4500122,88.94999695,176.5800018,133.1199951,486.0100098,54.70999908,32.20000076,145.9700012,20.77899933
2019-04-25,51.31999969,277.6600037,85.44999695,176.1499939,133.7200012,487.5700073,51.40999985,31.62999916,143.4900055,21.47500038
2019-04-26,51.07500076,281.9599915,86.51000214,176.5899963,133.8999939,489.519989,52.79000092,31.45999908,146.3000031,21.52400017
2019-04-29,51.15250015,286.1400146,85.83999634,177.2599945,132.6199951,494.1600037,53.50999832,30.76000023,147.3200073,22.5890007
2019-04-30,50.16749954,289.25,85.69999695,179.3600006,133.8500061,484.1400146,54.33000183,31.05999947,146.6000061,22.14800072
2019-05-01,52.63000107,283.3500061,83.63999939,178.0200043,133.8399963,484.730011,53.38999939,30.31999969,148.3800049,22.12199974
2019-05-02,52.28749847,279.6400146,79.77999878,175.0800018,134.0899963,482.3500061,53.15999985,30.10000038,149.9700012,22.51600075
2019-05-03,52.9375,285.5799866,80.18000031,177.3099976,132.9600067,578.9400024,53.75999832,30.21999931,153.0800018,23.19599915
2019-05-06,52.11999893,283.6600037,79.69999695,176.7899933,132.8200073,567.6900024,53.52999878,29.94000053,146.3999939,22.55900002
2019-05-07,50.71500015,277.0700073,79.43000031,170.2899933,129.7599945,539.4099731,52.93999863,30.71999931,143.6300049,21.76499939
2019-05-08,50.72499847,276.769989,79.72000122,170.4199982,129.5200043,536.0599976,51.95999908,30.20000076,143.9499969,22.21100044
2019-05-09,50.18000031,275.7900085,77.91000366,169.7899933,129.0500031,542.6400146,51.99000168,29.93000031,142.5200043,18.99200058
2019-05-10,49.29499817,278.480011,77.23000336,171.1399994,129.3600006,557.8400269,52.11000061,30.14999962,142.1900024,18.35099983
2019-05-13,46.43000031,267.7000122,73.30999756,163.9700012,129.1900024,543.0300293,51.43999863,30.90999985,135.75,17.6760006
2019-05-14,47.16500092,271.8599854,74.73000336,168.3000031,128.6499939,562.6900024,51.88999939,30.82999992,135.4900055,18.52599907
2019-05-15,47.72999954,276.8200073,75.04000092,171.0399933,130.0899963,572.9299927,52.13000107,30.69000053,135.0800018,19.98800087
2019-05-16,47.52000046,283.5499878,73.70999908,171.8800049,130.4799957,595.7299805,52.02999878,30.54999924,138.3600006,20.20400047
2019-05-17,47.25,279.8500061,73.65000153,169.5200043,131.1100006,574.5700073,52.34999847,30.92000008,134.8500061,19.80200005
2019-05-20,45.77249908,275.4500122,72.73000336,166.4900055,130.1900024,574.0900269,52.33000183,31.17000008,135.1199951,19.81699944
2019-05-21,46.65000153,278.0700073,72.37999725,170.1499939,131.8099976,572.9500122,51.86999893,31.34000015,136.8999939,19.90299988
2019-05-22,45.69499969,281.8200073,69.34999847,171.2299957,132.1199951,569.4899902,52.83000183,31.31999969,135.5700073,19.88999939
2019-05-23,44.91500092,274.25,67.72000122,166.4100037,132.2200012,580.6699829,52.81000137,31.63999939,131.8699951,19.52899933
2019-05-24,44.74250031,274.769989,67.80999756,167.3099976,132.4499969,592.5499878,52.40000153,31.92000008,132.8000031,19.59000015
2019-05-28,44.55749893,278.25,69.12000275,166.9499969,132.5899963,600.5800171,49.86999893,31.67000008,129.3699951,20.20899963
2019-05-29,44.34500122,273.3800049,68.61000061,166.7700043,129.9499969,573.6099854,50.18999863,31.60000038,130.2200012,20.14500046
2019-05-30,44.57500076,274.5100098,68.66999817,173.0399933,130.6300049,578.289978,50.20999908,32.09000015,131.0500031,20.18899918
2019-05-31,43.76750183,270.8999939,64.04000092,172.5899963,130.7299957,570.5200195,49.06000137,33.09000015,127.2200012,19.88100052
2019-06-03,43.32500076,259.0299988,66.83999634,162.8699951,130.8500061,568.7700195,50.09999847,33.63000107,127.2799988,19.74200058
2019-06-04,44.90999985,268.7099915,70.51000214,168.1799927,129.6799927,551.710022,50.41999817,34.36000061,132.5,22.29100037
2019-06-05,45.63499832,272.8599854,72.51000214,170.1600037,132.7299957,569.1500244,49.68999863,34.49000168,134.8500061,23.22999954
2019-06-06,46.30500031,274.7999878,72.91999817,172.8200073,132.2200012,581.6900024,50.75,35.31000137,136.2100067,23.72599983
2019-06-07,47.53749847,278.1600037,73.40000153,176.75,131.8999939,604.4899902,51.38000107,35.66999817,137.6900024,24.50399971
2019-06-10,48.14500046,280.3399963,75.70999908,177.1100006,131.1399994,616.460022,51.20999908,35.29000092,139.4799957,24.98800087
2019-06-11,48.70249939,275.9899902,76.13999939,177.4499969,130.8200073,613.2999878,52.15000153,34.91999817,140.0099945,24.93600082
2019-06-12,48.54750061,276.8399963,74.88999939,177.8899994,131.2899933,623.4099731,51.59000015,35.47000122,140.9799957,24.21999931
2019-06-13,48.53749847,276.2999878,76.08999634,176.6999969,132.7599945,635.5900269,51.20999908,35.54999924,142.9100037,24.68799973
2019-06-14,48.18500137,274.2799988,75.33000183,174.5,133.1399994,616,50.86000061,35.93000031,141.5099945,24.49399948
2019-06-17,48.47249985,275.6000061,75.83999634,172.6000061,134.8999939,618.8499756,50.86000061,36.22000122,140.8000031,24.81100082
2019-06-18,49.61249924,276.7799988,76.80000305,173.4799957,134.5,622.75,50.11999893,36.00999832,144.5599976,24.51799965
2019-06-19,49.46749878,291.2099915,76.84999847,173.5299988,135.3899994,641.3900146,49.90000153,36.36000061,143.4700012,25.12999916
2019-06-20,49.86500168,302.1099854,78.47000122,175,134.3699951,636.4400024,50.25999832,37.58000183,146.3600006,25.10899925
2019-06-21,49.69499969,299.3299866,78.41999817,174.0800018,133.8200073,630.6500244,48,37.49000168,143.4499969,24.13400078
2019-06-24,49.64500046,299.8699951,78.30999756,171.8099976,132.6000061,621.7999878,48.49000168,38.43999863,143.1300049,23.42900085
2019-06-25,48.89250183,287.9700012,78.11000061,170.4900055,131.3099976,614.539978,48.77999878,37.93999863,141.6999969,22.68799973
2019-06-26,49.95000076,288.7200012,78.91999817,170.9900055,126.5,609.2199707,47.93999863,38.27000046,143.0500031,22.59499931
2019-06-27,49.93500137,293.230011,81.05999756,172.9299927,128.5200043,610.6699829,47.90000153,38.08000183,143.1799927,23.14500046
2019-06-28,49.47999954,294.6499939,80.83000183,173.1000061,128.7599945,611.7700195,47.34999847,38.47000122,144.6100006,22.77799988
